Titolo,
QUIZ VDS/VL - edizione 2017,
Durata quiz,Intervallo di voto,
45,0 - 100,
1,Chi può praticare autonomamente il volo libero?,[0/0]chiunque può praticare quest'attività sportiva purché abbia frequentato un apposito corso.,"[1/0]chiunque, munito dei requisiti richiesti dalle norme in vigore (Attestato in corso di validità e copertura assicurativa RCT).",[0/0]chiunque può praticare quest'attività purché abbia superato un esame Ae.C.I..,

2,Chi è l'unico responsabile della condotta del deltaplano e del parapendio?,[1/0]il pilota.,"[0/0]il pilota, ma solo se dotato di sufficiente esperienza.",[0/0]l’Ente di Controllo del Traffico Aereo.,

3,"Qual è l'età minima, previo consenso dei genitori, per la pratica del Volo Libero?
",[0/0]14 anni.,[0/0]18 anni.,[1/0]16 anni.,

4,Il Certificato Medico ha normalmente validità di,[0/0]18 mesi.,[1/0]24 mesi.,[0/0]36 mesi.,

5,La copertura assicurativa RCT è obbligatoria per la pratica del VDS/VL?,"[1/0]si, il pilota è obbligato ad assicurarsi.","[0/0]no, il pilota non è obbligato ad assicurarsi.","[0/0]si, ma solo per effettuare voli di cross country.",

6,Nel Volo Libero qual è il criterio generale di precedenza nell’area di decollo?,[1/0]ha la precedenza il pilota in fase d’atterraggio (top landing).,[0/0]ha la precedenza il pilota in fase di decollo.,[0/0]non esiste un criterio specifico.,

7,E' obbligatorio l'uso del casco per il Volo Libero?,[0/0]no.,[1/0]si.,[0/0]solo per il volo in deltaplano.,

8,Qual è lo spazio aereo all’interno del quale si può praticare il Volo Libero?,[0/0]qualsiasi spazio aereo purché ad una quota inferiore ai 1000 piedi.,[0/0]lo spazio aereo controllato dalle Autorità Aeronautiche.,"[1/0]lo spazio aereo non controllato, salvo particolari eccezioni o autorizzazioni sancite da un notam.",

9,Il criterio nello stabilire la suddivisione degli spazi aerei per la pratica del volo è:
,[0/0]solo quello di limitare lo spazio aereo a disposizione degli sportivi che praticano il Volo Libero in quanto ritenuta attività secondaria.,[1/0]quello di separare il traffico costituito dagli apparecchi per il Volo Libero da altri traffici civili e militari per garantire la sicurezza del volo ed evitare collisioni.,[0/0]quello di impedire che l'attività di Volo Libero si svolga al di sopra di certe quote in quanto molto in alto gli apparecchi in uso non danno garanzie di sicurezza.,

10,Quale altezza minima si deve mantenere nella pratica del VDS/VL?,[0/0]500 piedi dal punto più elevato nel raggio di 3 km nei giorni feriali e 1000 piedi nei giorni festivi.,"[0/0]non vi è un’altezza minima, perché è comunque vietato il sorvolo dei centri abitati con deltaplano e parapendio.","[1/0]quella che consente, in caso d’emergenza, un atterraggio che non comporti pericolo per beni e persone al suolo.",

11,Quale distanza minima occorre mantenere dalle nubi?,[0/0]1000 m.,[0/0]non esiste regola precisa.,[1/0]è necessario comunque mantenersi fuori dalle nubi e in contatto con il suolo o con la superficie acquea sottostante.,

12,E' consentito volare in nube con deltaplano e parapendio?
,"[1/0]no, perché non è garantita la separazione da eventuali ostacoli, dal terreno e da altri mezzi e poiché il disorientamento comporta la possibile perdita del controllo di assetto e velocità.","[0/0]no, perché non è garantita la separazione da eventuali ostacoli e dal terreno, sebbene sia possibile condurre tali mezzi in condizioni di volo strumentale anche senza l'ausilio di strumenti, data la semplicità di pilotaggio.","[0/0]sì, sempre che la nube in questione non si estenda sino ad aderire al pendio o comunque al terreno, nel qual caso non sarebbe garantita la sicurezza del volo.",

13,"Le tabelle chiamate effemeridi, sulle quali si possono trovare tutti i dati concernenti le posizioni in cielo delle stelle e dei pianeti durante l'anno, possono essere utili a chi pratica il Volo Libero perché:",[0/0]può essere utile condurre una navigazione stellare in certe condizioni.,[0/0]può essere utile conoscere con esattezza l'altezza del sole sull'orizzonte a una certa ora e in un certo giorno dell'anno per stabilire la propria posizione.,[1/0]è indispensabile sapere l'orario del sorgere e del tramontare del sole in ogni giorno dell'anno poiché il Volo Libero si può praticare solo da 30 minuti prima dell’alba a 30 minuti dopo il tramonto.,

14,E' possibile svolgere attività di volo libero a meno di 4 km dai confini di Stato?,[0/0]no.,[1/0]si.,[0/0]dipende dalle leggi vigenti nei Paesi confinanti.,

15,Deltaplano e parapendio come sono classificati?,[0/0]sono alianti.,[1/0]sono apparecchi per il volo da diporto e sportivo.,[0/0]sono aerostati.,

16,Che cosa s'intende per spazio aereo controllato?,[0/0]una porzione di spazio aereo nazionale all'interno della quale tutto il traffico è controllato da apparecchiature radar.,[0/0]una porzione di spazio aereo nazionale all'interno della quale tutto il traffico di aeromobili è controllato da apparecchiature radar militari.,[1/0]una porzione di spazio aereo nazionale all'interno della quale si svolge attività di volo di aeromobili sotto la giurisdizione degli Enti di Controllo del traffico aereo civili e militari.,

17,La Legge italiana stabilisce che:,[1/0]all'interno degli spazi aerei controllati si svolga normalmente solo attività di volo di aeromobili esclusi gli apparecchi VDS/VL se non preventivamente autorizzati.,[0/0]all'interno degli spazi aerei controllati si svolga normalmente attività di volo di aeromobili civili e/o militari e di apparecchi VDS/VL.,[0/0]all'interno degli spazi aerei controllati si svolga sempre attività di volo di aeromobili civili e/o militari e nei giorni festivi anche attività di volo di apparecchi VDS/VL.,

18,E' consentito l'impegno degli spazi aerei controllati da parte degli apparecchi VDS/VL?,[1/0]solo se preventivamente autorizzati.,"[0/0]sì, se esistono condizioni di volo a vista (Visual Flight Rules).","[0/0]no, indipendentemente dalle condizioni esistenti.",

19,Praticando il Volo Libero a quale distanza è opportuno tenersi dagli aeroporti non situati all'interno di un ATZ?,[1/0]ad almeno 5 km.,[0/0]ad almeno 1 km.,[0/0]ad almeno 5 km e a una quota non inferiore a 500 m.,

20,Che cosa è una ATZ?,[1/0]uno spazio aereo controllato situato intorno e sopra ad un aeroporto.,[0/0]un'area destinata all'attesa degli aeromobili civili e/o militari prima dell'atterraggio sull'aeroporto di destinazione.,[0/0]una zona aeroportuale di smistamento a terra del traffico di aeromobili civili e/o militari.,

21,E' consentito effettuare attività di volo libero in un'ATZ?,[0/0]si.,"[0/0]sì, in assenza di traffico di aeromobili.","[1/0]no, salvo particolari autorizzazioni rilasciate dal Direttore di Circoscrizione Aeroportuale.",

22,Che cosa è un CTR?,[1/0]una porzione di spazio aereo controllato all'interno del quale si svolge attività di volo di aeromobili e i mezzi del VDS devono avere preventiva autorizzazione.,"[0/0]una porzione di spazio aereo, non necessariamente controllato, all'interno del quale si svolge attività di aeromobili civili e/o militari in arrivo o partenza su uno o più aeroporti.",[0/0]una porzione di spazio aereo controllato riservata all'arrivo o partenza di aeromobili militari.,

23,E' possibile volare con deltaplano o parapendio all'interno di un CTR?,[0/0]normalmente si.,"[0/0]sì, nei giorni festivi.","[1/0]no, salvo autorizzazione.",

24,Che cosa è una TMA?,[0/0]una porzione di spazio aereo riservata all' attività di velivoli militari.,[1/0]una porzione di spazio aereo controllato.,[0/0]una porzione di spazio aereo non controllato.,

